label,name,description
backup,Backup,
calc,Calculators,"Calculators for numbers, dates, etc."
chat,Chat and instant messaging,
cheatsheet,Commands cheatsheet and snippets,"Tools to manage often used commands, code snippets, cheatsheets and alternative manpages"
conversion,Conversion,File format converters
data-management,Data management,Tools to manage data files
data-management-json,Data management - JSON/YAML/etc.,Tools to manage data files in JSON/YAML and similar formats
data-management-tabular,Data management - Tabular data,"Tools to manage tabular data files (CSV, xls, database tables, etc.)"
transfer,Data transfer,
cd,Directory changers (alternatives to cd),Tools for improving the efficiency of directory traversal
ai,AI / ChatGPT,Interfaces and front-ends to GPT engines and other artificial intelligence enabled tools
copilot,Co-pilot,Using GPT tools to generate commands at the command line
devops,DevOps,Tools for DevOps tasks
diff,Diff,"File and data diffs, more or less “context” or “semantic” aware"
disk-analyzer,Disk usage analyzers,
editors,Editors,Terminal text editors
email,Email,"Email clients ([Mail User Agents](https://en.wikipedia.org/wiki/Email_client) - MUA), mail synchronization"
file-dir-cleanup,Clean up of files and directories,"Find/remove duplicate files, automatically organize files, etc."
file-explorer,File explorer and tree visualization,Show directory trees and navigate through the file system (but not full featured file managers)
find,File finding (alternatives to find),Search the filesystem looking for files with specific characteristics
file-handling,File and file system handling,Tools for managing files and directories
file-watch,File watching for changes,Services that watch files for changes and perform actions when something happens
ls,File listing (alternatives to ls),
file-manager,File manager,
file-renamer,File renamers,
file-system,File systems,
financial,Financial tools,"Ledger tracking, currency conversion, cryptocurrency tools"
flashcard,"Anki, decks and flashcards",Manage decks of flashcards and Anki decks
font,Font management,
funny,Funny tools,Miscellaneous of tools that provide some funny/aesthetical functionality
fuzzy-finder,Fuzzy finders,Fuzzy finders and generic option pickers
games,Games,
git,Git and accessories,
graphics,Graphics,
history,History management,Programs to replace or improve the management of command line history
launcher,Command launchers,"Tools to launch/execute programs, either interactively, automatically, in parallel, etc."
markdown,Markdown,Utilities to display and convert Markdown files
video,Video,"Programs to process and manage video files (downloader, editing, players, etc.)"
networking,Networking,Programs to deal with networks and communication
note-taking,Note taking,
office,Office tools,Spreadsheet and presentations
organizers,Organizers and calendars,Calendar managers
online,Online search and resources,
package-manager,Package managers,"Manage/install/uninstall packages, as source code or binaries"
password-manager,Password managers,
productivity,Productivity,A set of tools for improving own productivity that do not deserve (at the moment) a specific category
programming,Programming,
prompt,Prompts,Prompts and welcome messages
religion,Religion,Tools to handle religious material
rss,RSS,"RSS feed visualizers, converters and managers"
science,Science,Tools for scientific research and science applications
security,Security and encryption,"Cryptography, ciphered archive managers, encrypted file-systems"
shells,Shells,
music,Sound and music,Music players
monitor,System monitoring,
monitor-top,Process viewers and monitoring (alternatives to top),Programs to list and monitor currently running processes; alternatives to the `top` command
screen-recorder,Screen recorder,"Tools to record the content of the terminal and manage the recording (e.g., converting into animated GIFs)"
screensaver,Screen savers,
system,System tools,
terminal,Terminals,
text-processing,Text processing,
text-search,Text search (alternatives to grep),"Search files, typically in a recursive manner, to look for some contained text or path (regex)"
text-search-replace,Text search and replace (alternatives to sed),Tools to search text within files and replace it.
time-tracker,Time trackers,Time and habit trackers
typing,Typing test and practice,Games and utilities to measure and/or improve the typing ability
rm,File deletion and trash bin (alternatives to rm),"Tools to manage the deletion of files/directories with improved management of a trash can, with the ability to restore deleted items"
todo-manager,Todo managers,
torrent,Torrent,BitTorrent clients
utility,Utilities,
versioning,Versioning,
viewers,Viewers,
browser,Web browser,
webdev,Web development,"Static site generators, load test tools"
writing,Writing,"Tools to assist the writing of text (translation, spell checking, etc.)"
